trial_idx,source_vendor,source_model,source_condition,source_repeat_idx,source_label,source_quote,source_quote_sha1,source_quote_valid,ground_truth,judge_vendor,judge_model,raw_output,verdict,format_valid,supports_label
0,anthropic,claude-opus-4-5-20251101,evidence_required,1,LOCALIZED,We randomly assigned patients with resectable NSCLC (stage II to IIIB [N2 node stage] according to the eighth edition of the AJCC Cancer Staging Manual),fc7bb4a1f2e57bc303295fd86d2ec6c2c8ca0505,True,LOCALIZED,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
1,anthropic,claude-opus-4-5-20251101,evidence_required,1,METASTATIC,we enrolled patients who had locally advanced and unresectable or metastatic urothelial carcinoma with prespecified FGFR alterations,0160b11634f2b30a9d244e76b12d448a9151fb57,True,BOTH,anthropic,claude-opus-4-5-20251101,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
2,anthropic,claude-opus-4-5-20251101,evidence_required,1,METASTATIC,"In this phase 3 study, we aimed to compare overall survival in patients with advanced or metastatic soft-tissue sarcoma who received eribulin with that in patients who received dacarbazine",cf3614b788fdddf6d88bbe8c5a0531acbefc221b,True,BOTH,anthropic,claude-opus-4-5-20251101,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
3,anthropic,claude-opus-4-5-20251101,evidence_required,1,LOCALIZED,Patients with stage II-IV ovarian cancer were randomly assigned,3d24cd87c74831431b75447b0066652f058d4220,True,BOTH,anthropic,claude-opus-4-5-20251101,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
4,anthropic,claude-opus-4-5-20251101,evidence_required,1,METASTATIC,To investigate the efficacy of anlotinib on overall survival of patients with advanced NSCLC progressing after second-line or further treatment.,c9e609f99613768550cecda30d5261632a03cdcd,True,BOTH,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
5,anthropic,claude-opus-4-5-20251101,evidence_required,1,METASTATIC,We randomly assigned patients with epidermal growth factor receptor-positive colorectal cancer with unresectable metastases to receive FOLFIRI either alone or in combination with cetuximab.,095a4141eb262225a4f7a27dacfdcec099af798c,True,METASTATIC,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
6,anthropic,claude-opus-4-5-20251101,evidence_required,1,LOCALIZED,Localised prostate cancer is commonly treated with external beam radiotherapy,0c49d50c3d7e6e3b243439cb9d2a760b787b52c7,True,LOCALIZED,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
7,anthropic,claude-opus-4-5-20251101,evidence_required,1,NEITHER,"In this randomised controlled trial, we recruited postmenopausal women aged 50-74 years from 13 centres in National Health Service Trusts in England, Wales, and Northern Ireland.",c0b3f644539d5fce65e71e6ffad366dbfc3ba94e,True,NEITHER,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
8,anthropic,claude-opus-4-5-20251101,evidence_required,1,NEITHER,women had to be at increased risk of breast cancer (judged on the basis of specific criteria),f6e99365f989a7d0a77de7cdc0f7e02d7e48083c,True,NEITHER,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
9,anthropic,claude-opus-4-5-20251101,evidence_required,1,METASTATIC,"we recruited patients aged 18 years or older with metastatic, HER2-negative gastric or gastro-oesophageal junction adenocarcinoma",f7c8ae218aa2a3d30f7332ef5fdf9e777dc7d8dc,True,METASTATIC,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
10,anthropic,claude-opus-4-5-20251101,evidence_required,1,LOCALIZED,"We randomly assigned patients with node-positive or high-risk node-negative HER2-positive, operable breast cancer to receive either pertuzumab or placebo added to standard adjuvant chemotherapy plus 1 year of treatment with trastuzumab.",0591ee004c0def46184a426053dd9738f35bbfe6,True,LOCALIZED,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
11,anthropic,claude-opus-4-5-20251101,evidence_required,1,LOCALIZED,"We assessed the benefit of adding durvalumab, a PD-L1 antibody, with and following chemoradiotherapy for locally advanced cervical cancer.",d1e614fe7b5029804a8fbe3e3a04765c4bffb316,True,LOCALIZED,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
12,anthropic,claude-opus-4-5-20251101,evidence_required,1,BOTH,"Participants were patients with persistent or recurrent epithelial ovarian, fallopian tube, or primary peritoneal carcinoma with 1 to 3 prior regimens and performance status of 0 to 2.",f3409732cc7d4683f100ffbb4e6a413730016a80,True,BOTH,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
13,anthropic,claude-opus-4-5-20251101,evidence_required,1,LOCALIZED,5102 patients with HER2-positive early breast cancer,42e034cabf2625e843f4f5548b2fb5d4b396f648,True,LOCALIZED,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
14,anthropic,claude-opus-4-5-20251101,evidence_required,1,LOCALIZED,had stage I-III histologically proven and operable invasive hormone receptor-positive breast cancer,51ec0273befa1e47d1450daed3776964587877f4,True,LOCALIZED,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
15,anthropic,claude-opus-4-5-20251101,evidence_required,1,LOCALIZED,"Patients with HER2-positive, operable, locally advanced or inflammatory breast cancer were randomly assigned",84ec036d9366cf4a0250f89f04a963cb3b9da6ed,True,LOCALIZED,anthropic,claude-opus-4-5-20251101,VERDICT: SUPPORTED,SUPPORTED,True,True
