vendor,condition,true_label,pred_label,count
openai,baseline,LOCALIZED,LOCALIZED,205
openai,baseline,LOCALIZED,METASTATIC,0
openai,baseline,LOCALIZED,BOTH,0
openai,baseline,LOCALIZED,NEITHER,3
openai,baseline,METASTATIC,LOCALIZED,0
openai,baseline,METASTATIC,METASTATIC,120
openai,baseline,METASTATIC,BOTH,0
openai,baseline,METASTATIC,NEITHER,0
openai,baseline,BOTH,LOCALIZED,0
openai,baseline,BOTH,METASTATIC,41
openai,baseline,BOTH,BOTH,95
openai,baseline,BOTH,NEITHER,0
openai,baseline,NEITHER,LOCALIZED,0
openai,baseline,NEITHER,METASTATIC,0
openai,baseline,NEITHER,BOTH,0
openai,baseline,NEITHER,NEITHER,53
openai,evidence_required,LOCALIZED,LOCALIZED,201
openai,evidence_required,LOCALIZED,METASTATIC,0
openai,evidence_required,LOCALIZED,BOTH,0
openai,evidence_required,LOCALIZED,NEITHER,4
openai,evidence_required,METASTATIC,LOCALIZED,0
openai,evidence_required,METASTATIC,METASTATIC,120
openai,evidence_required,METASTATIC,BOTH,0
openai,evidence_required,METASTATIC,NEITHER,0
openai,evidence_required,BOTH,LOCALIZED,0
openai,evidence_required,BOTH,METASTATIC,35
openai,evidence_required,BOTH,BOTH,89
openai,evidence_required,BOTH,NEITHER,0
openai,evidence_required,NEITHER,LOCALIZED,0
openai,evidence_required,NEITHER,METASTATIC,0
openai,evidence_required,NEITHER,BOTH,0
openai,evidence_required,NEITHER,NEITHER,57
gemini,baseline,LOCALIZED,LOCALIZED,213
gemini,baseline,LOCALIZED,METASTATIC,0
gemini,baseline,LOCALIZED,BOTH,0
gemini,baseline,LOCALIZED,NEITHER,1
gemini,baseline,METASTATIC,LOCALIZED,0
gemini,baseline,METASTATIC,METASTATIC,120
gemini,baseline,METASTATIC,BOTH,0
gemini,baseline,METASTATIC,NEITHER,0
gemini,baseline,BOTH,LOCALIZED,0
gemini,baseline,BOTH,METASTATIC,31
gemini,baseline,BOTH,BOTH,165
gemini,baseline,BOTH,NEITHER,0
gemini,baseline,NEITHER,LOCALIZED,4
gemini,baseline,NEITHER,METASTATIC,0
gemini,baseline,NEITHER,BOTH,1
gemini,baseline,NEITHER,NEITHER,55
gemini,evidence_required,LOCALIZED,LOCALIZED,201
gemini,evidence_required,LOCALIZED,METASTATIC,0
gemini,evidence_required,LOCALIZED,BOTH,0
gemini,evidence_required,LOCALIZED,NEITHER,2
gemini,evidence_required,METASTATIC,LOCALIZED,0
gemini,evidence_required,METASTATIC,METASTATIC,117
gemini,evidence_required,METASTATIC,BOTH,1
gemini,evidence_required,METASTATIC,NEITHER,0
gemini,evidence_required,BOTH,LOCALIZED,0
gemini,evidence_required,BOTH,METASTATIC,23
gemini,evidence_required,BOTH,BOTH,155
gemini,evidence_required,BOTH,NEITHER,0
gemini,evidence_required,NEITHER,LOCALIZED,3
gemini,evidence_required,NEITHER,METASTATIC,0
gemini,evidence_required,NEITHER,BOTH,0
gemini,evidence_required,NEITHER,NEITHER,55
anthropic,baseline,LOCALIZED,LOCALIZED,208
anthropic,baseline,LOCALIZED,METASTATIC,0
anthropic,baseline,LOCALIZED,BOTH,0
anthropic,baseline,LOCALIZED,NEITHER,7
anthropic,baseline,METASTATIC,LOCALIZED,3
anthropic,baseline,METASTATIC,METASTATIC,117
anthropic,baseline,METASTATIC,BOTH,0
anthropic,baseline,METASTATIC,NEITHER,0
anthropic,baseline,BOTH,LOCALIZED,6
anthropic,baseline,BOTH,METASTATIC,83
anthropic,baseline,BOTH,BOTH,99
anthropic,baseline,BOTH,NEITHER,1
anthropic,baseline,NEITHER,LOCALIZED,0
anthropic,baseline,NEITHER,METASTATIC,0
anthropic,baseline,NEITHER,BOTH,0
anthropic,baseline,NEITHER,NEITHER,52
anthropic,evidence_required,LOCALIZED,LOCALIZED,209
anthropic,evidence_required,LOCALIZED,METASTATIC,0
anthropic,evidence_required,LOCALIZED,BOTH,0
anthropic,evidence_required,LOCALIZED,NEITHER,5
anthropic,evidence_required,METASTATIC,LOCALIZED,2
anthropic,evidence_required,METASTATIC,METASTATIC,118
anthropic,evidence_required,METASTATIC,BOTH,0
anthropic,evidence_required,METASTATIC,NEITHER,0
anthropic,evidence_required,BOTH,LOCALIZED,23
anthropic,evidence_required,BOTH,METASTATIC,95
anthropic,evidence_required,BOTH,BOTH,62
anthropic,evidence_required,BOTH,NEITHER,0
anthropic,evidence_required,NEITHER,LOCALIZED,0
anthropic,evidence_required,NEITHER,METASTATIC,0
anthropic,evidence_required,NEITHER,BOTH,0
anthropic,evidence_required,NEITHER,NEITHER,53
